,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
104,Scott Steiner,"April 16, 2000",84,84,,,Spring Stampede,"Chicago, IL",82,Defeated Sting in a tournament final for the vacant title.[73],WWE,[72],2,US_Championship,,
105,Vacated,"July 9, 2000",—,—,,,Bash at the Beach,"Daytona Beach, FL",—,Scott Steiner was stripped of the title when he used the banned Steiner Recliner submission hold on Mike Awesome.[74],WWE,[72],—,US_Championship,,
106,Lance Storm,"July 18, 2000",66,66,,,Nitro,"Auburn Hills, MI",83,Defeated Mike Awesome in a tournament final for the vacant title. Storm unofficially renamed the title the WCW Canadian Heavyweight Championship.,WWE,[75],1,US_Championship,,
107,Terry Funk,"September 22, 2000",1,1,,,House show,"Amarillo, TX",84,"Title change was not recognized by WCW, but is recognized by WWE.",WWE,[76],2,US_Championship,,
108,Lance Storm,"September 23, 2000",36,36,,,House show,"Lubbock, TX",85,"Title change was not recognized by WCW, but is recognized by WWE.",WWE,[77],2,US_Championship,,
109,Gen. Rection,"October 29, 2000",12,15,,,Halloween Havoc,"Paradise, NV",86,Defeated Lance Storm and Jim Duggan in a handicap match.,WWE,[78],1,US_Championship,,
110,Lance Storm,"November 10, 2000",16,13,,,Nitro,"London, England",87,,WWE,[79][4],3,US_Championship,,
111,Gen. Rection,"November 26, 2000",49,49,,,Mayhem,"Milwaukee, WI",88,,WWE,[80],2,US_Championship,,
112,Shane Douglas,"January 14, 2001",22,22,,,Sin,"Indianapolis, IN",89,This was a First Blood Chain match.,WWE,[81],1,US_Championship,,
113,Rick Steiner,"February 5, 2001",41,41,,,Nitro,"Tupelo, MS",90,,WWE,[82],1,US_Championship,,
114,Booker T,"March 18, 2001",128,128,,,Greed,"Jacksonville, FL",91,Title and other selected assets of WCW were purchased by the World Wrestling Federation (WWF). Title was subsequently referred to as the WCW United States Championship and was defended on WWF programming.,WWE,[83],1,US_Championship,,
115,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),,,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),WWE,World Wrestling Federation (WWF),World Wrestling Federation (WWF),US_Championship,World Wrestling Federation (WWF),
116,Chris Kanyon,"July 24, 2001",48,46,,,SmackDown!,"Pittsburgh, PA",92,"Given the title by Booker T as he was also the WCW Champion.WWE recognizes Kanyon's reign as beginning on July 26, 2001, when the episode aired on tape delay.",WWE,[84],1,US_Championship,,
117,Tajiri,"September 10, 2001",13,13,,,Raw,"San Antonio, TX",93,,WWE,[85],1,US_Championship,,
118,Rhyno,"September 23, 2001",29,29,,,Unforgiven,"Pittsburgh, PA",94,,WWE,[86],1,US_Championship,,
119,Kurt Angle,"October 22, 2001",21,21,,,Raw,"Kansas City, MO",95,,WWE,[87],1,US_Championship,,
120,Edge,"November 12, 2001",6,6,,,Raw,"Boston, MA",96,,WWE,[88],1,US_Championship,,
121,Unified,"November 18, 2001",—,—,,,Survivor Series,"Greensboro, NC",—,"Edge defeated WWF Intercontinental Champion Test in a title unification match. Edge became the Intercontinental Champion while the United States title was deactivated. In May 2002, the WWF became the WWE.",WWE,[88],—,US_Championship,,
122,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,,,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,WWE,World Wrestling Entertainment (WWE): SmackDown,World Wrestling Entertainment (WWE): SmackDown,US_Championship,World Wrestling Entertainment (WWE): SmackDown,
123,Eddie Guerrero,"July 27, 2003",84,84,,,Vengeance,"Denver, CO",97,Title was reactivated as the WWE United States Championship as an exclusive title of the SmackDown brand. Guerrero defeated Chris Benoit in a tournament final for the revived title.,WWE,[89],2,US_Championship,,
124,Big Show,"October 19, 2003",147,147,,,No Mercy,"Baltimore, MD",98,,WWE,[90],1,US_Championship,,
125,John Cena,"March 14, 2004",114,114,,,WrestleMania XX,"New York, NY",99,"WWE mistakenly lists Cena's reign as lasting 137 days, ending on July 29, 2004. The match description for Booker T's title win states that Cena was stripped of the title ""a few weeks prior"" to the July 29, 2004 tape delay episode of SmackDown!",WWE,[91],1,US_Championship,,
126,Vacated,"July 6, 2004",—,—,,,SmackDown!,"Winnipeg, MB, Canada",—,"John Cena was stripped of the title after attacking SmackDown! General Manager Kurt Angle.Aired on tape delay on July 8, 2004.",WWE,[92],—,US_Championship,,
127,Booker T,"July 27, 2004",68,66,,,SmackDown!,"Cincinnati, OH",100,"This was an eight-way elimination match, also involving John Cena, René Duprée, Kenzo Suzuki, Rob Van Dam, Billy Gunn, Charlie Haas, and Luther Reigns.WWE recognizes Booker T's reign as beginning on July 29, 2004, when the episode aired on tape delay.",WWE,[92],2,US_Championship,,
128,John Cena,"October 3, 2004",2,4,,,No Mercy,"East Rutherford, NJ",101,"This was the fifth match of a Best of Five series.WWE recognizes Cena's reign as ending on October 7, 2004, when the following episode aired on tape delay.",WWE,[93],2,US_Championship,,
129,Carlito Caribbean Cool,"October 5, 2004",42,42,,,SmackDown!,"Boston, MA",102,"WWE recognizes Carlito's reign as beginning on October 7, 2004 and ending on November 18, 2004, both episodes of which aired on tape delay.",WWE,[94][95],1,US_Championship,,
130,John Cena,"November 16, 2004",105,105,,,SmackDown!,"Dayton, OH",103,"WWE recognizes Cena's reign as beginning on November 18, 2004 and ending on March 3, 2005, both episodes of which aired on tape delay.",WWE,[96],3,US_Championship,,
131,Orlando Jordan,"March 1, 2005",173,171,,,SmackDown!,"Albany, NY",104,"WWE recognizes Jordan's reign as beginning on March 3, 2005, when the episode aired on tape delay.",WWE,[97],1,US_Championship,,
132,Chris Benoit,"August 21, 2005",58,61,,,SummerSlam,"Washington, D.C.",105,"WWE recognizes Benoit's reign as ending on October 21, 2005, when the following episode aired on tape delay.",WWE,[98],3,US_Championship,,
133,Booker T,"October 18, 2005",35,35,,,SmackDown!,"Reno, NV",106,"WWE recognizes Booker T's reign as beginning on October 21, 2005 and ending on November 25, 2005, both episodes of which aired on tape delay.",WWE,[99],3,US_Championship,,
134,Vacated,"November 22, 2005",—,—,,,SmackDown!,"Sheffield, England",—,"Vacated when Booker T's title defense against Chris Benoit ended in a double pinfall.[5]Aired on tape delay on November 25, 2005.",WWE,[99],—,US_Championship,,
135,Booker T,"January 10, 2006",40,37,,,SmackDown!,"Philadelphia, PA",107,"Booker T faced Chris Benoit in a Best of Seven series, winning the first three matches; Randy Orton substituted for Booker T after that due to injury, losing the next three matches, but winning the final for the vacant title.WWE recognizes Booker T's reign as beginning on January 13, 2006, when the episode aired on tape delay.",WWE,[100],4,US_Championship,,
136,Chris Benoit,"February 19, 2006",42,42,,,No Way Out,"Baltimore, MD",108,,WWE,[101],4,US_Championship,,
137,John Bradshaw Layfield,"April 2, 2006",51,54,,,WrestleMania 22,"Rosemont, IL",109,"WWE recognizes JBL's reign as ending on May 26, 2006, when the following episode aired on tape delay.",WWE,[102],1,US_Championship,,
138,Bobby Lashley,"May 23, 2006",49,48,,,SmackDown!,"Bakersfield, CA",110,"WWE recognizes Lashley's reign as beginning on May 26, 2006 and ending on July 14, 2006, both episodes of which aired on tape delay.",WWE,[103],1,US_Championship,,
139,Finlay,"July 11, 2006",49,48,,,SmackDown!,"Minneapolis, MN",111,"WWE recognizes Finlay's reign as beginning on July 14, 2006 and ending on September 1, 2006, both episodes of which aired on tape delay.",WWE,[104],1,US_Championship,,
140,Mr. Kennedy,"August 29, 2006",42,42,,,SmackDown!,"Reading, PA",112,"This was a triple threat match, also involving Bobby Lashley.WWE recognizes Kennedy's reign as beginning on September 1, 2006 and ending on October 13, 2006, both episodes of which aired on tape delay.",WWE,[105][106],1,US_Championship,,
141,Chris Benoit,"October 10, 2006",222,219,,,SmackDown!,"Jacksonville, FL",113,"WWE recognizes Benoit's reign as beginning on October 13, 2006, when the episode aired on tape delay.",WWE,[107][108],5,US_Championship,,
142,Montel Vontavious Porter,"May 20, 2007",343,343,,,Judgment Day,"St. Louis, MO",114,This was a two out of three falls match.,WWE,[109][110],1,US_Championship,,
143,Matt Hardy,"April 27, 2008",84,84,,,Backlash,"Baltimore, MD",115,The title became exclusive to the ECW brand following the 2008 WWE Draft.,WWE,[111][112],1,US_Championship,,
144,WWE: ECW,WWE: ECW,WWE: ECW,WWE: ECW,,,WWE: ECW,WWE: ECW,WWE: ECW,WWE: ECW,WWE,WWE: ECW,WWE: ECW,US_Championship,WWE: ECW,
145,Shelton Benjamin,"July 20, 2008",240,243,,,The Great American Bash,"Uniondale, NY",116,The title was returned to SmackDown due to Benjamin's status as a SmackDown wrestler.,WWE,[113][114],1,US_Championship,,
146,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,US_Championship,WWE: SmackDown,
147,Montel Vontavious Porter,"March 17, 2009",76,73,,,SmackDown,"Corpus Christi, TX",117,The title became exclusive to the Raw brand following the 2009 WWE Draft.,WWE,[115][116],2,US_Championship,,
148,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,US_Championship,WWE: Raw,
149,Kofi Kingston,"June 1, 2009",126,126,,,Raw,"Birmingham, AL",118,,WWE,[117][118],1,US_Championship,,
150,The Miz,"October 5, 2009",224,224,,,Raw,"Wilkes-Barre, PA",119,,WWE,[119][120],1,US_Championship,,
151,Bret Hart,"May 17, 2010",7,7,,,Raw,"Toronto, ON, Canada",120,"This was a no disqualification, no countout match.",WWE,[121][122],5,US_Championship,,
152,Vacated,"May 24, 2010",—,—,,,Raw,"Toledo, OH",—,Vacated when Bret Hart became the Raw General Manager.,WWE,[121][123],—,US_Championship,,
153,R-Truth,"May 24, 2010",21,20,,,Raw,"Toledo, OH",121,Defeated The Miz to win the vacant title.,WWE,[123][124],1,US_Championship,,
154,The Miz,"June 14, 2010",97,97,,,Raw,"Charlotte, NC",122,"This was a fatal four-way match, also involving John Morrison and Zack Ryder.",WWE,[125][126],2,US_Championship,,
155,Daniel Bryan,"September 19, 2010",176,177,,,Night of Champions,"Rosemont, IL",123,,WWE,[127],1,US_Championship,,
156,Sheamus,"March 14, 2011",48,47,,,Raw,"St. Louis, MO",124,"If Sheamus lost, he would have quit the WWE.Title became exclusive to the SmackDown brand following the 2011 WWE Draft.",WWE,[128],1,US_Championship,,
157,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,US_Championship,WWE: SmackDown,
158,Kofi Kingston,"May 1, 2011",49,49,,,Extreme Rules,"Tampa, FL",125,This was a tables match. The title became exclusive to Raw due to Kingston's status as a Raw wrestler.,WWE,[129],2,US_Championship,,
159,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,US_Championship,WWE: Raw,
160,Dolph Ziggler,"June 19, 2011",182,182,,,Capitol Punishment,"Washington, D.C.",126,"On August 29, 2011, the brand extension ended, allowing the United States Champion to appear on both Raw and SmackDown.",WWE,[130],1,US_Championship,,
161,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),,,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE,WWE (unbranded),WWE (unbranded),US_Championship,WWE (unbranded),
162,Zack Ryder,"December 18, 2011",29,29,,,"TLC: Tables, Ladders & Chairs","Baltimore, MD",127,,WWE,[131],1,US_Championship,,
163,Jack Swagger,"January 16, 2012",49,50,,,Raw,"Anaheim, CA",128,,WWE,[132],1,US_Championship,,
164,Santino Marella,"March 5, 2012",167,167,,,Raw,"Boston, MA",129,,WWE,[133],1,US_Championship,,
165,Antonio Cesaro,"August 19, 2012",239,240,,,SummerSlamPre-Show,"Los Angeles, CA",130,,WWE,[134],1,US_Championship,,
166,Kofi Kingston,"April 15, 2013",34,34,,,Raw,"Greenville, SC",131,,WWE,[135],3,US_Championship,,
167,Dean Ambrose,"May 19, 2013",351,351,,,Extreme Rules,"St. Louis, MO",132,,WWE,[3][136],1,US_Championship,,
168,Sheamus,"May 5, 2014",182,182,,,Raw,"Albany, NY",133,This was a 20-man battle royal. Sheamus lastly eliminated Dean Ambrose to win the match and the title.,WWE,[137],2,US_Championship,,
169,Rusev,"November 3, 2014",146,145,,,Raw Backstage Pass,"Buffalo, NY",134,,WWE,[138],1,US_Championship,,
170,John Cena,"March 29, 2015",147,147,,,WrestleMania 31,"Santa Clara, CA",135,,WWE,[139],4,US_Championship,,
171,Seth Rollins,"August 23, 2015",28,29,,,SummerSlam,"Brooklyn, NY",136,"This was a winner takes all match, in which Rollins defended the WWE World Heavyweight Championship.",WWE,[140],1,US_Championship,,
172,John Cena,"September 20, 2015",35,35,,,Night of Champions,"Houston, TX",137,,WWE,[141],5,US_Championship,,
173,Alberto Del Rio,"October 25, 2015",78,79,,,Hell in a Cell,"Los Angeles, CA",138,,WWE,[142],1,US_Championship,,
174,Kalisto,"January 11, 2016",1,3,,,Raw,"New Orleans, LA",139,"WWE recognizes Kalisto's reign as ending on January 14, 2016, when the following episode aired on tape delay.",WWE,[143],1,US_Championship,,
175,Alberto Del Rio,"January 12, 2016",12,10,,,SmackDown,"Lafayette, LA",140,"WWE recognizes Del Rio's reign as beginning on January 14, 2016, when the episode aired on tape delay.",WWE,[144],2,US_Championship,,
176,Kalisto,"January 24, 2016",119,119,,,Royal Rumble,"Orlando, FL",141,,WWE,[145],2,US_Championship,,
177,Rusev,"May 22, 2016",126,126,,,Extreme Rules,"Newark, NJ",142,The brand extension returned and the title became exclusive to the Raw brand following the 2016 WWE Draft.,WWE,[146],2,US_Championship,,
178,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,US_Championship,WWE: Raw,
179,Roman Reigns,"September 25, 2016",106,107,,,Clash of Champions,"Indianapolis, IN",143,,WWE,[147],1,US_Championship,,
180,Chris Jericho,"January 9, 2017",83,83,,,Raw,"New Orleans, LA",144,"This was a 2-on-1 handicap match, also involving Kevin Owens, who teamed with Jericho. Jericho pinned Roman Reigns to win the title.",WWE,[148],1,US_Championship,,
181,Kevin Owens,"April 2, 2017",28,28,,,WrestleMania 33,"Orlando, FL",145,The title became exclusive to the SmackDown brand following the 2017 WWE Superstar Shake-up.,WWE,[149],1,US_Championship,,
182,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,US_Championship,WWE: SmackDown,
183,Chris Jericho,"April 30, 2017",2,2,,,Payback,"San Jose, CA",146,"Since Jericho won, he was transferred to the SmackDown brand.",WWE,[150],2,US_Championship,,
184,Kevin Owens,"May 2, 2017",66,66,,,SmackDown,"Fresno, CA",147,,WWE,[151],2,US_Championship,,
185,AJ Styles,"July 7, 2017",16,16,,,WWE Live,"New York, NY",148,,WWE,[152],1,US_Championship,,
186,Kevin Owens,"July 23, 2017",2,2,,,Battleground,"Philadelphia, PA",149,,WWE,[153],3,US_Championship,,
187,AJ Styles,"July 25, 2017",75,75,,,SmackDown,"Richmond, VA",150,This was a triple threat match also involving Chris Jericho.,WWE,[154],2,US_Championship,,
188,Baron Corbin,"October 8, 2017",70,70,,,Hell in a Cell,"Detroit, MI",151,This was a triple threat match also involving Tye Dillinger who Corbin pinned.,WWE,[155],1,US_Championship,,
189,Dolph Ziggler,"December 17, 2017",9,9,,,Clash of Champions,"Boston, MA",152,This was a triple threat match also involving Bobby Roode.,WWE,[156],2,US_Championship,,
190,Vacated,"December 26, 2017",—,—,,,SmackDown,"Rosemont, IL",—,SmackDown General Manager Daniel Bryan ruled that Dolph Ziggler vacated the title after he left the belt in the ring on the December 19 episode of SmackDown.,WWE,[157],—,US_Championship,,
191,Bobby Roode,"January 16, 2018",54,54,,,SmackDown,"Laredo, TX",153,Defeated Jinder Mahal in a tournament final to win the vacant title.,WWE,[158],1,US_Championship,,
192,Randy Orton,"March 11, 2018",28,28,,,Fastlane,"Columbus, OH",154,,WWE,[159],1,US_Championship,,
193,Jinder Mahal,"April 8, 2018",8,8,,,WrestleMania 34,"New Orleans, LA",155,"This was a fatal four-way match, also involving Bobby Roode and Rusev.The title became exclusive to the Raw brand following the first night of the 2018 WWE Superstar Shake-up.",WWE,[160],1,US_Championship,,
194,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,US_Championship,WWE: Raw,
195,Jeff Hardy,"April 16, 2018",90,90,,,Raw,"Hartford, CT",156,Title transferred back to the SmackDown brand on the second night of the 2018 WWE Superstar Shake-up.,WWE,[161],1,US_Championship,,
196,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,US_Championship,WWE: SmackDown,
197,Shinsuke Nakamura,"July 15, 2018",156,163,,,Extreme Rules,"Pittsburgh, PA",157,"WWE recognizes Nakamura's reign as ending on December 25, 2018, when the following episode aired on tape delay.",WWE,[162],1,US_Championship,,
198,Rusev,"December 18, 2018",40,32,,,SmackDown,"Fresno, CA",158,"WWE recognizes Rusev's reign as beginning on December 25, 2018, when the episode aired on tape delay.",WWE,[163][164],3,US_Championship,,
199,Shinsuke Nakamura,"January 27, 2019",2,2,,,Royal RumbleKickoff,"Phoenix, AZ",159,,WWE,[165],2,US_Championship,,
